Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .000#00#0.00100#00.1000001#-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,01] [PE: 0,01] [AS: 001,0] [Ti: 00980] [Nu: 001] [Pa: 001]
     - .00#0000#.110011##.10##0##0-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01647] [Nu: 001] [Pa: 001]
     - .000#10#0.##0##000.000##011-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01919] [Nu: 001] [Pa: 001]
     - .10#00000.1#00#000.#000##00-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,5] [Ti: 01645] [Nu: 001] [Pa: 001]
     - .#0#01###.#00###10.10#00##0-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,16] [PE: 0,05] [AS: 002,0] [Ti: 00908] [Nu: 001] [Pa: 001]
     - .00#01##0.0#1#000#.##000#11-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 002,0] [Ti: 01924] [Nu: 001] [Pa: 001]
     - .#00#0#00.#0101011.##0#0#00-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,08] [PE: 0,04] [AS: 001,5] [Ti: 00828] [Nu: 001] [Pa: 001]
     - .00#0#0#0.0###00#0.00#010#0-N : [Fi: 0,11] [Ex: 00031,0] [Pr: 0,30] [PE: 0,28] [AS: 014,5] [Ti: 01968] [Nu: 002] [Pa: 001]
     - .00#01000.000#0010.0###001#-S : [Fi: 0,10] [Ex: 00003,0] [Pr: 0,60] [PE: 0,15] [AS: 001,3] [Ti: 00748] [Nu: 001] [Pa: 001]
     - .0#1#000#.00#0100#.00###000-N : [Fi: 0,10] [Ex: 00003,0] [Pr: 0,11] [PE: 0,06] [AS: 003,3] [Ti: 01415] [Nu: 001] [Pa: 001]
     - .00000000.###0###0.####10##-E : [Fi: 0,10] [Ex: 00005,0] [Pr: 0,00] [PE: 0,00] [AS: 014,4] [Ti: 01776] [Nu: 002] [Pa: 001]
